S.No.,Location,Pincode
1,Abiramapuram,600018
2,Adambakkam,600088
3,Adyar,600020
4,Agaram,600082
5,Alandur,600016
6,Alandur North,600032
7,Alwar Tirunagar,600087
8,Ambattur Bazaar,600053
9,Ambattur H O,600053
10,Ambattur Industrial Estat,600058
11,Ambattur West,600053
12,Aminijikarai,600029
13,Anakaputhur,600070
14,Angappanaicken Street,600001
15,Anna Road H O,600002
16,Annamalaipuram,600028
17,Annanagar,600040
18,Annanagar East,600102
19,Annanagar Western Extn,600101
20,Annaroad Sourth,600002
21,Arcot Road,600024
22,Arumbakkam,600106
23,Ashok Nagar,600083
24,Ashtabujam Road,600112
25,Avadi,600054
26,Avadi Air Force Quarters,600055
27,Avadi Camp H O,600054
28,Avadi Iaf,600055
29,Ayanavaram,600023
30,Ayanavaram Rly Colony,600023
31,Besant Nagar,600090
32,Besantnagat South,600090
33,Bharathipuram,600044
34,Broadway,600108
35,Bullion Market,600079
36,Butt Road,600016
37,C-In-C Road,600105
38,Cathedral,600006
39,Cemetry Road,600021
40,Central Institute Of Tech,600020
41,Central Leather Research,600020
42,Central Station,600003
43,Central Vehicle Depot,600055
44,Central Vehicle Research,600054
45,Chamiers Road,600018
46,Chepauk,600005
47,Chetput H O,600031
48,Chinnaiah Mudali Colony,600011
49,Chintadripeta,600002
50,Chitlapakkam,600064
51,Choolai,600112
52,Choolaimedu,600094
53,Choolaimedu Mdo,600094
54,Christian College,600059
55,Chromepet,600044
56,Crp Camp,600065
57,D G Vaishnav College,600106
58,Decoster Road,600012
59,Defence Officers Colony,600097
60,Dr Ambedkarnagar,600003
61,Edapalayam,600003
62,Egmore,600008
63,Egmore High Road,600008
64,Ekkaduthangal,600032
65,Eldams Road,600018
66,Engineering College Directorat,600025
67,Ennur R S,600057
68,Ennur Thermal Station,600057
69,Ernavur,600057
70,Flower Bazar,600001
71,Flowers Road,600084
72,Fore Shore Estate,600028
73,Fort St George,600009
74,Ganapathipuram,600059
75,Gandhi Nagar,600020
76,Ganesh Nagar,600088
77,Gaugadeeswaran Koil,600084
78,Gollawar Agraharam Road,600021
79,Gopalapuram,600086
80,Goudiyamath Road,600014
81,Government Estate,600002
82,Govt Stanely Hospital,600001
83,Greams Road,600006
84,Ground Training School,600046
85,Guindy Ind Estate,600032
86,Gunidy North,600015
87,Habibullah Road,600017
88,Harinarayanapuram,600021
89,Harrington Road,600031
90,High Court Buildings,600104
91,Hindi Prachar Sabha,600017
92,Hindustan Teleprinters,600032
93,I C F Colony,600038
94,Indian Inst Of Technology,600036
95,Indra Nagar,600020
96,Jaffarkhanpet,600095
97,Jam Bazaar,600014
98,Jawahar Nagar,600082
99,K K Nagar,600078
100,Kadirvedu,600066
101,Kaladipet,600019
102,Kalignar Karunanidhinagar,600078
103,Kalinga Colony,600078
104,Kalmandapam,600013
105,Kamarajanagar,600071
106,Kasimode,600013
107,Kasturbanagar,600020
108,Kilpauk,600010
109,Kilpauk Garden Colony,600010
110,Kilpauk Medical College,600010
111,Kilpauk West,600010
112,Kodambakkam,600024
113,Kodambakkam West,600024
114,Kolathur-Cpt,600099
115,Korattur,600080
116,Korattur R S,600076
117,Korukkupet,600021
118,Kosapet,600012
119,Kothwal Market,600001
120,Kottur Gram,600085
121,Kottur Madras,600085
122,Koyambedu,600107
123,Krishnampet,600005
124,Kudlyiruppur,600089
125,Kumaran Nagar,600033
126,Kunnathur Kanchipuram,600069
127,Lic Colony Tambaram,600059
128,Ligods Estate,600014
129,Ligods Road,600014
130,Loyla College,600034
131,Luz Church Road,600004
132,M P T Admn Office,600001
133,Madhavaram,600060
134,Madhavaram East,600060
135,Madhavaram Milk Colony,600051
136,Madipakkam,600091
137,Madras Air Port,600027
138,Madras Electricity System,600002
139,Madras Gpo,600001
140,Madras Medical College,600003
141,Madras Presidency College,600005
142,Madras Race Course,600032
143,Madras University,600005
144,Mambalam East,600033
145,Mambalam R S,600033
146,Manali Madras,600068
147,Manali New Town,600103
148,Mandavalli,600004
149,Mannady,600001
150,Mannurpettai,600050
151,Medavakkam Tank Road,600010
152,Mednambedu,600053
153,Mettupalayam,600033
154,Minambakkam,600027
155,Mint Buildings,600001
156,Monegar Choultry,600001
157,Moolakadai,600060
158,Mpt Staff Colony,600081
159,Ms Accountant General,600018
160,Ms Vivekanands College,600004
161,Muthialpet,600001
162,Mylopore,600004
163,Naganallur,600061
164,Naganallur South,600061
165,Nandanam,600035
166,Nandanam Bazaar,600035
167,Nanganallur Bazaar,600061
168,Negelkeni,600044
169,New Avadi Road,600010
170,Nochikuppam Colony,600004
171,North Thyagarayanagar,600017
172,Nungambakkam,600034
173,Nungambakkam Bazaar,600034
174,Nungambakkam High Road,600034
175,Offiers Trg School,600037
176,Old College Buildings,600006
177,Orgadam,600053
178,Padi,600050
179,Padi South,600050
180,Padianallur,600052
181,Pallavaram,600043
182,Pallavaram North,600043
183,Pallavaram South,600043
184,Palvanthangal,600061
185,Pammal,600075
186,Panagal Park,600017
187,Panchiappas College Hoste,600030
188,Park Town,600003
189,Parthasarathy Koil,600005
190,Pattabiram,600072
191,Pattabiram East,600072
192,Perambur,600011
193,Perambur Barracks,600012
194,Perambur High Road,600012
195,Perambur North,600011
196,Perungudi,600096
197,Police Head Quarters,600004
198,Polichalur,600074
199,Ponniammanmedu,600110
200,Poonamallee,600056
201,Poonamallee East,600056
202,Pozhal,600060
203,Prithivipakkam,600053
204,Pudupakkam,600014
205,Pudupet,600002
206,Pulianthope,600012
207,Purasawakkam,600084
208,R A Puram Colony,600028
209,Radhanagar,600044
210,Railway Car Shed Complex,600109
211,Railway Colony,600059
212,Raj Bhavan Madras Raja,600022
213,Rajah Thottam,600082
214,Rajainagar,600043
215,Ramakrishnanagar,600028
216,Rayapuram Madras,600013
217,Rayapuram Market,600013
218,Red Hills,600052
219,Red Hills Bazaar,600052
220,Regional Engg College,600052
221,Rengarajapuram,600024
222,Ripon Buildings,600003
223,Royapettah,600014
224,Royapettah High Road,600004
225,Saidapet Madras,600015
226,Saidapet West,600015
227,Saidhapet North,600015
228,Saligramam,600093
229,Saligramam South,600093
230,Santhome,600004
231,Sastrinagar,600020
232,Sathyamurthinagar,600062
233,Selaiyur,600073
234,Sembiam,600011
235,Sembier Street,600001
236,Service Centre,600031
237,Seven Wells,600001
238,Shanmugapuram,600019
239,Shastri Bhavan,600006
240,Shenoynagar,600030
241,Sidco Estate,600098
242,Sithathur,600074
243,Solai Street,600023
244,Solavaram,600067
245,Sowcarpet,600079
246,Sri Ayyappanagar,600111
247,Srinivasanagar,600063
248,St Thomas Mount H O,600016
249,Syrahans Road,600012
250,Tambaram East,600059
251,Tambaram H O,600045
252,Tambaram I A F,600046
253,Tambaram Sanitorium,600047
254,Tambaram West,600045
255,Taramani,600113
256,Technical Teachers Trg In,600020
257,Teynampet,600018
258,Teynampet South,600018
259,Teynampet West,600006
260,Thandarai,600072
261,Thayagaranagar H O,600017
262,Theosophical Society,600020
263,Thillaiganganagar,600061
264,Thyagarayanagar South,600017
265,Tirumangalam Road,600049
266,Tiruvaluvar Nagar,600016
267,Tiruvanmiyur,600041
268,Tiruvellikeni,600005
269,Tiruverkadu,600077
270,Tiruvottiur Central,600019
271,Tiruvottiyur,600019
272,Tiruvottiyur North,600019
273,Tiruvottiyur West,600019
274,Tondikarpet,600081
275,Treaning Institute,600113
276,Triplicane South,600014
277,Usman Road,600017
278,Vadapalani,600026
279,Vandalur,600048
280,Velacheri,600042
281,Venkatesapuram,600012
282,Vepery,600007
283,Vijayalakshmipuram,600053
284,Villivakkam,600049
285,Villivakkam North,600049
286,Villivakkam South,600049
287,Virugambakkam,600092
288,Virugambakkam Bazar,600092
289,Virugambakkam North,600092
290,Vyasarpady,600039
291,Vysarnagar Colony,600039
292,Vysarpady Coop Ind Estate,600039
293,Wal Tax Road,600001
294,Washermanpeta East,600021
295,Washermanpetta,600021
296,West Mambalam,600033
297,Wimconagar,600019
298,World University,600031
,,
